# name	planet_status	mass	mass_error_min	mass_error_max	mass_sini	mass_sini_error_min	mass_sini_error_max	radius	radius_error_min	radius_error_max	orbital_period	orbital_period_error_min	orbital_period_error_max	semi_major_axis	semi_major_axis_error_min	semi_major_axis_error_max	eccentricity	eccentricity_error_min	eccentricity_error_max	inclination	inclination_error_min	inclination_error_max	angular_distance	discovered	updated	omega	omega_error_min	omega_error_max	tperi	tperi_error_min	tperi_error_max	tconj	tconj_error_min	tconj_error_max	tzero_tr	tzero_tr_error_min	tzero_tr_error_max	tzero_tr_sec	tzero_tr_sec_error_min	tzero_tr_sec_error_max	lambda_angle	lambda_angle_error_min	lambda_angle_error_max	impact_parameter	impact_parameter_error_min	impact_parameter_error_max	tzero_vr	tzero_vr_error_min	tzero_vr_error_max	k	k_error_min	k_error_max	temp_calculated	temp_calculated_error_min	temp_calculated_error_max	temp_measured	hot_point_lon	geometric_albedo	geometric_albedo_error_min	geometric_albedo_error_max	log_g	publication_status	detection_type	mass_detection_type	radius_detection_type	alternate_names	molecules	star_name	ra	dec	mag_v	mag_i	mag_j	mag_h	mag_k	star_distance	star_distance_error_min	star_distance_error_max	star_metallicity	star_metallicity_error_min	star_metallicity_error_max	star_mass	star_mass_error_min	star_mass_error_max	star_radius	star_radius_error_min	star_radius_error_max	star_sp_type	star_age	star_age_error_min	star_age_error_max	star_teff	star_teff_error_min	star_teff_error_max	star_detected_disc	star_magnetic_field	star_alternate_names
HD 233604 b	Confirmed	6.575			6.575						192.0	0.22	0.22	0.747			0.05	0.03	0.03					2013	2013-04-30	281.0	83.0	83.0	2453022.0	77.0	77.0																															Published in a refereed paper	Radial Velocity					HD 233604	137.4542	53.5681	10.41								-0.36	0.04	0.04	1.5	0.3	0.3	10.9	0.6	0.6	K5	2.4	1.8	1.8	4791.0	45.0	45.0			
HD 23596 b	Confirmed	8.1			8.1						1565.0	21.0	21.0	2.88			0.292	0.023	0.023				0.055385	2002	2010-12-30	274.1	3.9	3.9	2451604.0	15.0	15.0																															Published in a refereed paper	Radial Velocity					HD 23596	57.0	40.5305556	7.24					52.0			0.32			1.27	0.04	0.04	2.09	0.24	0.24	F8	6.89			5888.0					
HD 240210 b	Confirmed	6.9			6.9						501.75	2.33	2.33	1.33			0.15	0.02	0.02				0.009301	2009	2014-08-27	277.49	7.77	7.77	2454487.38	10.93	10.93																															Published in a refereed paper	Radial Velocity					HD 240210	347.6208333	57.0294444	8.33					143.0	53.0	53.0	-0.18	0.12	0.12	1.25	0.25	0.25				K3III				4290.0	13.0	13.0			
HD 240237 b	Confirmed	5.3			5.3						745.7	13.8	13.8	1.9			0.4	0.1	0.1				0.001267	2010	2011-10-11	108.1	21.8	21.8	44292.0	28.3	28.3																															Submitted to a professional journal	Radial Velocity					HD 240237	348.925	58.0433333	8.19					1500.0			-0.26	0.07	0.07	1.69	0.42	0.42	32.0	1.0	1.0	K2III				4361.0	10.0	10.0			
HD 24040 b	Confirmed	4.01	0.49	0.49	4.01	0.49	0.49				3668.0	170.0	170.0	4.92	0.38	0.38	0.04	0.06	0.06				0.105784	2006	2012-05-25	154.0	54.0	54.0	2454308.0	839.0	839.0																															Submitted to a professional journal	Radial Velocity					HD 24040	57.5958333	17.4763889	7.52					46.51	2.3	2.3	0.206	0.03	0.03	1.18						G0	6.68	1.52	1.52	5853.0	44.0	44.0			
HD 24064 b	Confirmed	9.4	1.3	1.3	9.4	1.3	1.3				555.6	3.0	3.0	1.29	0.05	0.05	0.35	0.08	0.08					2015	2015-10-01	250.8	6.3	6.3	2455278.3	11.8	11.8																			251.0	9.3	9.3										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 24064	59.150000012	74.080000012	6.75					264.4	31.2	31.2	-0.49	0.06	0.06	1.0	0.1	0.1	38.0	2.9	2.9	K0	9.0	2.1	2.1	4052.5	22.5	22.5			
HD 25171 b	Confirmed	0.95	0.1	0.1	0.95	0.1	0.1				1845.0	15.0	15.0	3.02	0.16	0.16	0.08	0.06	0.06				0.054909	2010	2010-12-20	96.0	89.0	89.0	55301.0	449.0	449.0																															Published in a refereed paper	Radial Velocity					HD 25171	58.9541667	-65.1866667	7.79					55.0	1.5	1.5	-0.11	0.044	0.044	1.09	0.3	0.3	1.18	0.04	0.04	F8V	2.0	1.6	1.6	6160.0	65.0	65.0			
HD 2638 b	Confirmed	0.48			0.48			1.04			3.43752	0.008239	0.008239	0.044			0.0407	0.0351	0.0407				0.000819	2005	2016-09-03	126.9	78.6	78.6	2453323.282																		53323.206	0.002	0.002	66.26	2.83	2.83										Published in a refereed paper	Radial Velocity	Radial Velocity	Theoretical			HD 2638	7.4958333	-5.7638889	9.44					53.71			0.16	0.05	0.05	0.93						G5	3.0			5192.0	38.0	38.0			
HD 27442 b	Confirmed	1.35	0.11	0.11	1.35	0.11	0.11				415.2	0.5	0.5	1.16	0.11	0.11	0.058	0.05	0.05				0.064088	2000	2011-04-08	347.0	20.0	20.0	2451849.3	0.4	0.4																															Published in a refereed paper	Radial Velocity					HD 27442	64.1208333	-59.3019444	4.44					18.1			0.22			1.2	0.1	0.1	6.6			K2 IV a	7.15			4749.0	50.0	50.0			
HD 27631 b	Confirmed	1.45	0.14	0.14	1.45	0.14	0.14				2208.0	66.0	66.0	3.25	0.07	0.07	0.12	0.06	0.06					2011	2012-11-29	134.0	44.0	44.0	2453867.0	224.0	224.0																															Submitted to a professional journal	Radial Velocity					HD 27631	64.9375	-41.9602778	8.25					45.5	1.5	1.5										G3IV									
HD 27894 b	Confirmed	0.665	0.007	0.009	0.665	0.007	0.009				18.02	0.02	0.01	0.125	0.0001	0.0001	0.047	0.008	0.012				0.002879	2005	2017-06-25	132.2	15.2	2.8	53275.46	0.48	0.48																			59.8	0.59	0.8										Published in a refereed paper	Radial Velocity					HD 27894	65.1958333	-59.4108333	9.36					42.37			0.3	0.07	0.07	0.8						K2 V	3.9			4875.0	81.0	81.0			
HD 27894 c	Confirmed	0.162	0.04	0.011	0.162	0.04	0.011				36.07	0.09	0.26	0.198	0.001	0.001	0.015	0.002	0.02					2017	2017-06-25	44.2	7.5	11.0																						11.57	2.89	2.79										Published in a refereed paper	Radial Velocity					HD 27894	65.1958333	-59.4108333	9.36					42.37			0.3	0.07	0.07	0.8						K2 V	3.9			4875.0	81.0	81.0			
HD 27894 d	Confirmed	5.415	1.214	0.239	5.415	1.214	0.239				5174.0	82.0	171.0	5.448	0.058	0.119	0.389	0.03	0.087					2017	2017-06-25	353.9	3.1	12.3																						79.76	15.03	2.62										Published in a refereed paper	Radial Velocity	Radial Velocity				HD 27894	65.1958333	-59.4108333	9.36					42.37			0.3	0.07	0.07	0.8						K2 V	3.9			4875.0	81.0	81.0			
