name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
LP 358-499 b,Confirmed,0.00585,,,,,,0.12,,,3.0715,,,0.0333,,,,,,,,,,2017,2017-09-05,,,,,,,,,,2454833.7114,,,,,,,,,,,,,,,,,,616,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,LP 358-499,70.150000012,25.010000008,,,,,,,,,,,,0.52,,,0.49,,,M1V,,,,3644,80,80,,,
LP 358-499 c,Confirmed,2.57,,,,,,0.141,,,4.8679,,,0.0452,,,,,,,,,,2017,2017-09-05,,,,,,,,,,2454836.1665,,,,,,,,,,,,,,,,,,529,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,LP 358-499,70.150000012,25.010000008,,,,,,,,,,,,0.52,,,0.49,,,M1V,,,,3644,80,80,,,
LP 358-499 d,Confirmed,5.12,,,,,,2.21,,,11.0244,,,0.078,,,,,,,,,,2017,2017-09-05,,,,,,,,,,2454838.5695,,,,,,,,,,,,,,,,,,402,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,LP 358-499,70.150000012,25.010000008,,,,,,,,,,,,0.52,,,0.49,,,M1V,,,,3644,80,80,,,
MASCARA-1 b,Confirmed,3.7,0.9,0.9,,,,1.5,0.3,0.3,2.14878,0.000008,0.000008,0.043,0.005,0.005,0,,,87,3,2,,2017,2017-08-09,,,,,,,,,,2457097.278,0.002,0.002,,,,69.5,3,3,0.2,0.1,0.1,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,MASCARA-1,317.551551671,10.7388750191,8.3,,,,,188.7,10.7,10.7,0,,,1.72,0.07,0.07,2.1,0.2,0.2,A8,1,0.2,0.2,7554,150,150,,,HD 201585
NLTT 41135,Confirmed,33.7,2.81,2.82,33.7,2.8,2.8,1.13,0.17,0.27,2.889475,0.000025,0.000025,0.024,0.001,0.001,,,,87.42,0.5,0.5,,2010,2015-10-05,,,,,,,,,,2455002.80232,0.00022,0.00022,,,,,,,,,,,,,13189,190,190,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NLTT 41135,236.516666668,4.691666687,18,,,,,22.7,0.8,0.8,0,,,0.188,0.022,0.026,0.21,0.016,0.016,M5.1,,,,3230,130,130,,,
OGLE-TR-10 b,Confirmed,0.68,0.15,0.15,,,,1.72,0.11,0.11,3.10129,0.00001,0.00001,0.04162,0.00004,0.00004,0,,,84.5,0.6,0.6,0.000028,2004,2014-08-16,,,,,,,,,,2453890.678,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,OGLE-TR-10,267.8666667,-29.8761111,,14.93,,,,1500,,,0.28,0.1,0.1,1.18,0.04,0.04,1.16,0.06,0.06,G or K,1.1,86,86,6075,,,,,
OGLE-TR-111 b,Confirmed,0.54,0.1,0.1,,,,1.077,0.075,0.075,4.01451,0.0000041,0.0000041,0.047,0.001,0.001,0,,,88.1,0.5,0.5,0.000031,2004,2016-02-26,,,,,,,,,,2453470.5676,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,OGLE-TR-111,163.325,-61.4055556,,15.55,,,,1500,,,0.12,0.28,0.28,0.82,0.15,0.15,0.831,0.031,0.031,G or K,1.1,nan,inf,5070,400,400,,,
OGLE-TR-113 b,Confirmed,1.24,0.17,0.17,,,,1.11,0.05,0.05,1.4324772,0.0000012,0.0000012,0.0229,0.0002,0.0002,0,,,89.4,0.6,0.6,0.000015,2004,2016-02-26,,,,,,,,,,2453471.7782,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,OGLE-TR-113,163.1,-61.4466667,,14.42,,,,1500,,,0.14,0.14,0.14,0.78,0.02,0.02,0.765,0.025,0.025,K,0.7,,,4752,130,130,,,
OGLE-TR-132 b,Confirmed,1.17,0.14,0.14,,,,1.23,0.07,0.07,1.689868,0.000003,0.000003,0.0306,0.0008,0.0008,0,,,83.4,1.3,1.3,0.00002,2004,2010-12-16,,,,,,,,,,2453142.5912,0.0003,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,OGLE-TR-132,162.6416667,-61.9569444,,15.72,,,,1500,,,0.37,0.07,0.07,1.26,0.03,0.03,1.34,0.08,0.08,F,,,,6210,59,59,,,
OGLE-TR-182 b,Confirmed,1.06,0.15,0.15,,,,1.47,0.14,0.14,3.9791,0.00001,0.00001,0.051,0.001,0.001,0,,,85.7,0.3,0.3,,2007,2010-06-24,,,,,,,,,,2454270.572,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,,OGLE-TR-182,167.3291667,-61.0952778,16.84,15.86,15.45,14.9,14.74,,,,0.37,0.08,0.08,1.14,0.05,0.05,1.14,0.06,0.06,,,,,5924,64,64,,,
