name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
PSR 1257 12 b,Confirmed,7e-05,,,,,,,,,25.262,0.003,0.003,0.19,,,0.0,,,,,,0.00038,1992,2014-02-25,360.0,,,2449765.1,0.3,0.3,,,,,,,,,,,,,,,,49765.1,0.2,0.2,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR 1257 12,195.0166667,12.6822222,,,,,,710.0,40.0,40.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,
PSR 1257 12 c,Confirmed,0.013,,,,,,,,,66.5419,0.0001,0.0001,0.36,,,0.0186,0.0002,0.0002,53.0,4.0,4.0,0.00072,1992,2014-02-25,250.4,6.0,6.0,2449768.1,0.1,0.1,,,,,,,,,,,,,,,,49768.1,0.1,0.1,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR 1257 12,195.0166667,12.6822222,,,,,,710.0,40.0,40.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,
PSR 1257 12 d,Confirmed,0.012,0.0006,0.0006,,,,,,,98.2114,0.0002,0.0002,0.46,,,0.0252,0.0002,0.0002,47.0,3.0,3.0,0.00092,1992,2014-02-25,108.3,5.0,5.0,2449765.5,0.1,0.1,,,,,,,,,,,,,,,,49766.5,0.1,0.1,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR 1257 12,195.0166667,12.6822222,,,,,,710.0,40.0,40.0,,,,,,,,,,,1.0,0.0,0.0,,,,,,
PSR 1719-14 b,Confirmed,1.0,0.0,0.0,,,,0.4,0.0,0.0,0.090706293,,,0.0044,,,0.06,inf,nan,,,,,2011,2012-07-24,,,,2455235.51652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR 1719-14,259.7916667,-14.6336111,,,,,,1200.0,300.0,300.0,,,,1.4,,,,,,,12.5,nan,inf,,,,,,
PSR B1620-26 b,Confirmed,2.5,1.0,1.0,,,,,,,36525.0,0.0,0.0,23.0,0.0,0.0,,,,,,,0.006053,2003,2013-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR B1620-26,245.9083333,-26.5313889,24.0,,,,,3800.0,,,,,,1.35,,,,,,,,,,,,,,,
PSR B1957+20 b,Confirmed,22.0,,,,,,,,,0.38,,,,,,,,,,,,,1988,2016-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR B1957+20,299.904166679,20.804166686,,,,,,1530.0,,,,,,1.4,,,,,,PSR,2.2,,,,,,,,
PSR J1807-2459 A b,Confirmed,9.4,,,,,,,,,0.07,0.003,0.003,,,,0.0,,,,,,,2000,2015-10-29,,,,2450851.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR J1807-2459 A,151.83333334,-24.998055587,,,,,,2790.0,,,,,,1.4,,,,,,PSR,,,,,,,,,
PSR J2051-0827 b,Confirmed,28.3,,,,,,,,,0.099110266,4e-09,4e-09,,,,0.0,,,,,,,1996,2015-10-26,,,,2449642.17303,4e-06,4e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR J2051-0827,312.783333336,-8.460555573,,,,,,1280.0,,,,,,1.4,,,,,,PSR,5.61,,,,,,,,
PSR J2241-5236 b,Confirmed,12.0,,,,,,,,,0.1456722395,3e-10,3e-10,,,,0.0,,,,,,,2011,2015-10-26,,,,2455044.15809,6e-07,6e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR J2241-5236,340.425000014,-52.61000002,,,,,,500.0,,,,,,1.35,,,,,,PSR,5.22,,,,,,,,
RR Cae b,Confirmed,4.2,0.4,0.4,,,,,,,4350.0,37.0,37.0,5.3,0.6,0.6,0.0,,,,,,,2012,2012-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,RR Cae,65.275,-48.6519444,14.4,,,,,,,,,,,0.622,,,,,,DAZ8+dM,,,,,,,,,
UZ For (AB) d,Confirmed,7.7,1.2,1.2,,,,,,,1900.0,90.0,90.0,2.8,0.5,0.5,0.05,0.05,0.05,,,,,2011,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,UZ For (AB),53.8708333,-25.7394444,18.2,,,,,,,,,,,0.84,,,,,,Catac. var.,,,,,,,,,
V391 Peg b,Confirmed,3.2,0.7,0.7,,,,,,,1170.0,44.0,44.0,1.7,0.1,0.1,0.0,,,,,,0.001214,2007,2014-08-22,,,,,,,2452418.0,96.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,V391 Peg,331.05,26.4188889,14.57,,15.17,15.16,15.38,1400.0,180.0,180.0,,,,0.5,0.05,0.05,0.23,0.03,0.03,sdB,10.0,nan,inf,29300.0,500.0,500.0,,,
