name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
KOI-620.02,Confirmed,0.0239121542963,0.00346096970078344,0.00346096970078344,,,,0.865377581189,0.0446070918138849,0.0446070918138849,130.194,0.005,0.002,0.509,0.02,0.02,0.008,0.008,0.011,,,,,2014,2014-05-30,,,,,,,,,,2455695.9323,0.0004,0.0004,,,,,,,,,,,,,,,,381.0,,,,,,,,,Published in a refereed paper,TTV,,,,,Kepler-51,296.4792,49.9378,15.0,,,,,,,,,,,1.0,,,0.91,,,,,,,5803.0,,,,,
Kepler-338 e,Confirmed,0.027,0.02,0.023,,,,0.1416,0.0074,0.0074,9.34149,0.0004,0.0004,,,,0.05,0.05,0.23,,,,,2014,2015-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,,,,,Kepler-338,282.9789429,40.784348,,,11.098,10.841,10.756,,,,-0.106,,,1.1,,,1.74,0.08,0.08,,,,,5923.0,77.0,77.0,,,
Kepler-419 c,Confirmed,7.3,0.4,0.4,,,,,,,675.47,0.11,0.11,1.68,0.03,0.03,0.184,0.002,0.002,88.0,2.0,3.0,,2014,2014-08-28,275.3,1.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,,,,,KOI-1474,295.4166667,51.1847222,14.0,,,,,,,,0.0,0.16,0.16,1.22,0.08,0.08,1.4,0.21,0.21,,2.8,1.3,1.3,6230.0,100.0,100.0,,,
Kepler-46 c,Confirmed,0.362,0.016,0.016,,,,,,,57.004,0.1,0.1,0.2799,0.0041,0.0041,0.0145,0.0039,0.0039,87.25,0.95,0.95,0.000327,2012,2017-04-06,329.4,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,TTV,,KOI-872 c,,Kepler-46,289.2708333,42.6041667,15.3,,,,,857.0,69.0,69.0,0.41,0.1,0.1,0.902,0.04,0.04,0.94,0.04,0.04,,9.9,3.1,3.1,5155.0,105.0,105.0,,,
Kepler-539 c,Confirmed,2.4,1.2,1.2,,,,,,,1000.0,0.0,inf,,,,0.5,0.1,0.1,97.92,0.68,59.0,,2015,2016-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,TTV,,KOI-372 c,,Kepler-539,299.120833343,41.866666684,12.5,,,,,,,,-0.01,0.07,0.07,1.048,0.045,0.045,0.952,0.02,0.02,G2V,1.1,0.7,0.1,5820.0,80.0,80.0,,,
WASP-47 d,Confirmed,0.0428,0.0063,0.0063,,,,0.331,0.023,0.023,9.0304,0.0003,0.0003,0.088,0.019,0.019,0.007,0.007,0.007,89.22,0.13,0.13,,2015,2016-12-16,76.0,106.0,106.0,,,,,,,2456988.375,0.014,0.014,,,,,,,0.152,0.051,0.051,,,,4.77,0.81,0.81,,,,,,,,,,Published in a refereed paper,"Primary Transit, TTV",Radial Velocity,Primary Transit,,,WASP-47,331.2041667,-12.0188889,11.9,,,,,200.0,30.0,30.0,0.18,0.07,0.07,1.11,0.49,0.39,1.16,0.26,0.26,G9V,,,,5400.0,100.0,100.0,,,
WASP-47 e,Confirmed,0.029,0.0031,0.0031,,,,0.167,0.012,0.012,0.78961,1e-05,1e-05,0.0173,0.0038,0.0038,0.03,0.02,0.02,86.2,2.1,2.1,,2015,2016-12-16,81.0,146.0,146.0,,,,,,,2456979.76455,0.00094,0.00094,,,,,,,0.188,0.049,0.049,,,,6.1,1.9,1.9,,,,,,,,,,Published in a refereed paper,"Primary Transit, TTV",Radial Velocity,Primary Transit,,,WASP-47,331.2041667,-12.0188889,11.9,,,,,200.0,30.0,30.0,0.18,0.07,0.07,1.11,0.49,0.39,1.16,0.26,0.26,G9V,,,,5400.0,100.0,100.0,,,
